Year_num	mean_cpue	wtd_cv	CPUE+creep
1998	100.26403	0.420417618	96.3517620886354
1999	91.38338	0.379704106	86.9481504875288
2000	127.56303	0.277631903	120.170144606089
2001	130.35971	0.211958225	121.588855123386
2002	120.46523	0.181421102	111.247618797473
2003	138.18968	0.18143743	126.35232772297
2004	163.07888	0.105853367	147.633182649942
2005	193.94189	0.110577299	129.74712441
2006	178.59252	0.490469088	119.47839588
2007	148.0576	0.280983301	99.0505344
2008	169.67288	0.096368355	113.51115672
2009	161.03083	0.097359786	107.72962527
2010	141.41055	0.110137966	94.60365795
2011	89.46015	0.135778824	59.84884035
2012	88.67195	0.116778821	59.32153455
2013	97.08871	0.144900546	64.95234699
2014	92.19057	0.239799549	61.67549133
2015	91.07142	0.130015486	60.92677998
2016	103.50123	0.183352565	69.24232287
2017	111.1125	0.248498169	74.3342625
2018	104.02996	0.314525468	69.59604324
2019	153.81912	0.183965437	102.90499128
2020	143.96694	0.154236021	96.31388286
2021	140.06768	0.158360218	93.70527792
2022	134.76389	0.173519937	90.15704241
2023	146.73013	0.158323688	98.16245697
2024	123.28624	0.11386126	82.47849456
2025	145.42097	0.097835021	97.28662893
