year	prop_10_50
1972	0.956761799118074
1973	0.967642413812592
1974	0.954390171648359
1975	0.952738695483165
1976	0.979326777779313
1977	0.995377875180991
1978	0.999674378268332
1979	0.995948727282867
1980	0.992964325057114
1981	0.999023064236192
1982	0.99950580999527
1983	0.999932358275767
1984	0.999708665758256
1985	0.998393559527955
1986	0.996533596196654
1987	0.999872001151104
1988	0.999154406774638
1989	0.99994193698532
1990	0.995843555006992
1991	0.999813936701087
1992	0.993158518481056
1993	1
1994	0.984087178134496
1995	0.9982595831435
1996	0.965617523088389
1997	1
1998	0.999994152896058
1999	1
2000	0.999999869753393
2001	0.999944903945155
2002	0.999993093389708
2003	1
2004	1
2005	0.999977559650743
2006	0.999999311162304
2007	1
2008	1
2009	1
2010	0.999982123452625
2011	0.999572366431808
2012	0.999994074119708
2013	1
2014	1
2015	1
2016	1
2017	1
2018	1
2019	1
2020	1
2021	0.999489287360142
2022	0.99327651261494
2023	0.965762017584266
2024	0.894620415197813
2025	0.974046180571705
