"year","samples_n","source","notes","scaled_sample_size"
1972,100,"digitized_from_image","approximate bar-height digitization",18.282
1973,102,"digitized_from_image","approximate bar-height digitization",18.647
1974,218,"digitized_from_image","approximate bar-height digitization",39.854
1975,76,"digitized_from_image","approximate bar-height digitization",13.894
1976,106,"digitized_from_image","approximate bar-height digitization",19.378
1977,610,"digitized_from_image","approximate bar-height digitization",111.517
1978,330,"digitized_from_image","approximate bar-height digitization",60.329
1979,462,"digitized_from_image","approximate bar-height digitization",84.461
1980,424,"digitized_from_image","approximate bar-height digitization",77.514
1981,416,"digitized_from_image","approximate bar-height digitization",76.051
1982,712,"digitized_from_image","approximate bar-height digitization",130.165
1983,348,"digitized_from_image","approximate bar-height digitization",63.62
1984,618,"digitized_from_image","approximate bar-height digitization",112.98
1985,164,"digitized_from_image","approximate bar-height digitization",29.982
1986,208,"digitized_from_image","approximate bar-height digitization",38.026
1987,168,"digitized_from_image","approximate bar-height digitization",30.713
1988,676,"digitized_from_image","approximate bar-height digitization",123.583
1989,350,"digitized_from_image","approximate bar-height digitization",63.985
1990,424,"digitized_from_image","approximate bar-height digitization",77.514
1991,332,"digitized_from_image","approximate bar-height digitization",60.695
1992,240,"digitized_from_image","approximate bar-height digitization",43.876
1993,238,"digitized_from_image","approximate bar-height digitization",43.51
1994,224,"digitized_from_image","approximate bar-height digitization",40.951
1995,588,"digitized_from_image","approximate bar-height digitization",107.495
1996,856,"digitized_from_image","approximate bar-height digitization",156.49
1997,968,"digitized_from_image","approximate bar-height digitization",176.965
1998,430,"digitized_from_image","approximate bar-height digitization",78.611
1999,784,"digitized_from_image","approximate bar-height digitization",143.327
2000,1004,"digitized_from_image","approximate bar-height digitization",183.547
2001,398,"digitized_from_image","approximate bar-height digitization",72.761
2002,968,"digitized_from_image","approximate bar-height digitization",176.965
2003,588,"digitized_from_image","approximate bar-height digitization",107.495
2004,254,"digitized_from_image","approximate bar-height digitization",46.435
2005,1094,"digitized_from_image","approximate bar-height digitization",200
2006,548,"digitized_from_image","approximate bar-height digitization",100.183
2007,262,"digitized_from_image","approximate bar-height digitization",47.898
2008,202,"digitized_from_image","approximate bar-height digitization",36.929
2009,50,"digitized_from_image","approximate bar-height digitization",9.141
2010,832,"digitized_from_image","approximate bar-height digitization",152.102
2011,556,"digitized_from_image","approximate bar-height digitization",101.645
2012,262,"digitized_from_image","approximate bar-height digitization",47.898
2013,262,"digitized_from_image","approximate bar-height digitization",47.898
2014,82,"digitized_from_image","approximate bar-height digitization",14.991
2015,90,"digitized_from_image","approximate bar-height digitization",16.453
2016,136,"digitized_from_image","approximate bar-height digitization",24.863
2017,330,"digitized_from_image","approximate bar-height digitization",60.329
2018,492,"digitized_from_image","approximate bar-height digitization",89.945
2019,220,"digitized_from_image","approximate bar-height digitization",40.219
2020,360,"digitized_from_image","approximate bar-height digitization",65.814
2021,542,"digitized_from_image","approximate bar-height digitization",99.086
2022,624,"digitized_from_image","approximate bar-height digitization",114.077
2023,306,"digitized_from_image","approximate bar-height digitization",55.941
2024,296,"digitized_from_image","approximate bar-height digitization",54.113
2025,296,"digitized_from_image","rightmost visible bar assigned to 2025 for model sample-size vector",54.113
