hyp,stock,scenario,ssb_2026,prob_2026,ssb_2030,prob_2030,ssb_2034,prob_2034,catch_2025,catch_2026
h1,1,F2024 x1.5,15633,100,10810,76,9309,55,2115,2248
h1,1,F2024 x2,14682,99,9672,62,8329,41,2724,2696
h1,1,TAC2024 x1.,17108,100,13073,93,11284,77,1242,1464
h1,1,TAC2024 x1.100,15049,99,10089,67,8688,46,2484,2529
h1,1,TAC2024 x1.15,16781,100,12504,90,10779,72,1428,1647
h1,1,TAC2024 x1.20,16674,100,12327,89,10622,71,1490,1706
h1,1,TAC2024 x1.75,15539,100,10688,75,9204,54,2174,2295
h2,1,F2024 x1.5,12146,98,8995,76,7800,57,1666,1682
h2,1,F2024 x2,11368,96,8000,61,6919,42,2141,2011
h2,1,TAC2024 x1.,13300,99,10858,91,9509,78,1011,1127
h2,1,TAC2024 x1.100,11560,96,8230,65,7122,46,2021,1933
h2,1,TAC2024 x1.15,13024,99,10360,88,9041,73,1162,1267
h2,1,TAC2024 x1.20,12933,99,10204,87,8896,72,1213,1312
h2,1,TAC2024 x1.75,11973,98,8760,72,7591,53,1768,1758
h2,2,F2024 x1.5,649,100,255,79,168,42,254,224
h2,2,F2024 x2,572,99,181,50,109,7,322,260
h2,2,TAC2024 x1.,676,100,287,83,195,56,231,210
h2,2,TAC2024 x1.100,432,93,90,4,49,0,463,310
h2,2,TAC2024 x1.15,635,99,239,73,155,36,266,231
h2,2,TAC2024 x1.20,621,99,226,68,143,30,278,238
h2,2,TAC2024 x1.75,487,96,120,16,67,0,405,293
