hyp,stock,scenario,ssb_2027,prob_2027,ssb_2031,prob_2031,ssb_2035,prob_2035,catch_2026,catch_2027
h1,1,ADV2025,14439,99,11583,81,10318,65,1428,1679
h1,1,ADV2025 x15,14083,99,10984,75,9741,58,1642,1874
h1,1,TAC2025 x1.15,13851,98,10613,71,9388,54,1785,1997
h2,1,ADV2025,10632,93,9059,73,8190,60,1213,1337
h2,1,ADV2025 x15,10322,91,8520,66,7659,52,1395,1489
h2,1,TAC2025 x1.15,10119,89,8189,61,7338,47,1517,1584
h2,2,ADV2025,646,99,309,87,233,73,215,203
h2,2,ADV2025 x15,605,99,258,78,188,57,247,222
h2,2,TAC2025 x1.15,578,99,230,71,164,46,268,234
