year,samples_n,source,notes
1970,0,digitized_from_image,approximate bar-height digitization
1971,0,digitized_from_image,approximate bar-height digitization
1972,100,digitized_from_image,approximate bar-height digitization
1973,102,digitized_from_image,approximate bar-height digitization
1974,218,digitized_from_image,approximate bar-height digitization
1975,76,digitized_from_image,approximate bar-height digitization
1976,106,digitized_from_image,approximate bar-height digitization
1977,610,digitized_from_image,approximate bar-height digitization
1978,330,digitized_from_image,approximate bar-height digitization
1979,462,digitized_from_image,approximate bar-height digitization
1980,424,digitized_from_image,approximate bar-height digitization
1981,416,digitized_from_image,approximate bar-height digitization
1982,712,digitized_from_image,approximate bar-height digitization
1983,348,digitized_from_image,approximate bar-height digitization
1984,618,digitized_from_image,approximate bar-height digitization
1985,164,digitized_from_image,approximate bar-height digitization
1986,208,digitized_from_image,approximate bar-height digitization
1987,168,digitized_from_image,approximate bar-height digitization
1988,676,digitized_from_image,approximate bar-height digitization
1989,350,digitized_from_image,approximate bar-height digitization
1990,424,digitized_from_image,approximate bar-height digitization
1991,332,digitized_from_image,approximate bar-height digitization
1992,240,digitized_from_image,approximate bar-height digitization
1993,238,digitized_from_image,approximate bar-height digitization
1994,224,digitized_from_image,approximate bar-height digitization
1995,588,digitized_from_image,approximate bar-height digitization
1996,856,digitized_from_image,approximate bar-height digitization
1997,968,digitized_from_image,approximate bar-height digitization
1998,430,digitized_from_image,approximate bar-height digitization
1999,784,digitized_from_image,approximate bar-height digitization
2000,1004,digitized_from_image,approximate bar-height digitization
2001,398,digitized_from_image,approximate bar-height digitization
2002,968,digitized_from_image,approximate bar-height digitization
2003,588,digitized_from_image,approximate bar-height digitization
2004,254,digitized_from_image,approximate bar-height digitization
2005,1094,digitized_from_image,approximate bar-height digitization
2006,548,digitized_from_image,approximate bar-height digitization
2007,262,digitized_from_image,approximate bar-height digitization
2008,202,digitized_from_image,approximate bar-height digitization
2009,50,digitized_from_image,approximate bar-height digitization
2010,832,digitized_from_image,approximate bar-height digitization
2011,556,digitized_from_image,approximate bar-height digitization
2012,262,digitized_from_image,approximate bar-height digitization
2013,262,digitized_from_image,approximate bar-height digitization
2014,82,digitized_from_image,approximate bar-height digitization
2015,90,digitized_from_image,approximate bar-height digitization
2016,136,digitized_from_image,approximate bar-height digitization
2017,330,digitized_from_image,approximate bar-height digitization
2018,492,digitized_from_image,approximate bar-height digitization
2019,220,digitized_from_image,approximate bar-height digitization
2020,360,digitized_from_image,approximate bar-height digitization
2021,542,digitized_from_image,approximate bar-height digitization
2022,624,digitized_from_image,approximate bar-height digitization
2023,306,digitized_from_image,approximate bar-height digitization
2024,296,digitized_from_image,approximate bar-height digitization
2025,NA,digitized_from_image,no visible separate 2025 bar; final visible bar appears near 2024 tick
